BadeaID,Cage#,Sex,Genotype,Lifestyle,Diet,Weight,DOB,Age_Months,GLP_1Start,GLP_1End,Age_End,Age_Months_current,Years,Days,Age_Months_Start,Ear_Marks,Group,Unnamed: 18,Unnamed: 19,ARunno
250530_1,1725977,male,APOE22HN,Sedentary,HFD+GLP1,37.0,12/5/2024,15.87,10/1/2025,12/1/2025,11.87,15.87,0.580555556,209,6.966666667,L,HFD&GLP_1,,,B26010800
250530_2,1725977,male,APOE22HN,Sedentary,HFD+GLP1,44.0,12/5/2024,15.87,10/1/2025,12/1/2025,11.87,15.87,0.580555556,209,6.966666667,R,HFD&GLP_1,,,B26010801
250530_3,1725971,male,APOE22HN,Sedentary,HFD+GLP1,42.0,1/22/2025,14.3,10/1/2025,12/1/2025,10.3,14.3,0.447222222,161,5.366666667,L,HFD&GLP_1,,,B26010802
250530_4,1725971,male,APOE22HN,Sedentary,HFD+GLP1,47.0,1/22/2025,14.3,10/1/2025,12/1/2025,10.3,14.3,0.447222222,161,5.366666667,R,HFD&GLP_1,,,B26010803
250530_5,1725971,male,APOE22HN,Sedentary,HFD+GLP1,52.0,1/22/2025,14.3,10/1/2025,12/1/2025,10.3,14.3,0.447222222,161,5.366666667,LR,HFD&GLP_1,,,B26010804
250530_6,1725971,male,APOE22HN,Sedentary,HFD+GLP1,44.0,1/22/2025,14.3,10/1/2025,12/1/2025,10.3,14.3,0.447222222,161,5.366666667,LL,HFD&GLP_1,,,B26010805
250530_6,1725971,male,APOE22HN,Sedentary,HFD+GLP1,44.0,1/22/2025,14.3,10/1/2025,12/1/2025,10.3,14.3,0.447222222,161,5.366666667,LL,HFD&GLP_1,,,B26010806
250530_6,1725971,male,APOE22HN,Sedentary,HFD+GLP1,44.0,1/22/2025,14.3,10/1/2025,12/1/2025,10.3,14.3,0.447222222,161,5.366666667,LL,HFD&GLP_1,,,B26010807
250530_8,1725970,female,APOE22HN,Sedentary,HFD+GLP1,31.0,12/5/2024,15.87,10/1/2025,12/1/2025,11.87,15.87,0.580555556,209,6.966666667,R,HFD&GLP_1,,,B26010600
250530_9,1725970,female,APOE22HN,Sedentary,HFD+GLP1,38.0,12/5/2024,15.87,10/1/2025,12/1/2025,11.87,15.87,0.580555556,209,6.966666667,LR,HFD&GLP_1,,,B26010601
250530_9,1725970,female,APOE22HN,Sedentary,HFD+GLP1,38.0,12/5/2024,15.87,10/1/2025,12/1/2025,11.87,15.87,0.580555556,209,6.966666667,LR,HFD&GLP_1,,,B26010602
250530_10,1725970,female,APOE22HN,Sedentary,HFD+GLP1,29.0,1/22/2025,14.3,10/1/2025,12/1/2025,10.3,14.3,0.447222222,161,5.366666667,RR,HFD&GLP_1,,,
250530_11,1725974,male,APOE33HN,Sedentary,HFD+GLP1,34.0,12/9/2024,15.73,10/1/2025,12/1/2025,11.73,15.73,0.569444444,205,6.833333333,L,HFD&GLP_1,,,B25123008
250530_12,1725974,male,APOE33HN,Sedentary,HFD+GLP1,35.0,12/9/2024,15.73,10/1/2025,12/1/2025,11.73,15.73,0.569444444,205,6.833333333,R,HFD&GLP_1,,,B25123009
250530_13,1725968,male,APOE33HN,Sedentary,HFD+GLP1,35.0,1/21/2025,14.33,10/1/2025,12/1/2025,10.33,14.33,0.45,162,5.4,L,HFD&GLP_1,,,
250530_14,1725968,male,APOE33HN,Sedentary,HFD+GLP1,34.0,1/21/2025,14.33,10/1/2025,12/1/2025,10.33,14.33,0.45,162,5.4,R,HFD&GLP_1,,,B2601065
250530_15,1725975,female,APOE33HN,Sedentary,HFD+GLP1,33.0,12/9/2024,15.73,10/1/2025,12/1/2025,11.73,15.73,0.569444444,205,6.833333333,L,HFD&GLP_1,,,B26010604
250530_16,1725975,female,APOE33HN,Sedentary,HFD+GLP1,33.0,12/9/2024,15.73,10/1/2025,12/1/2025,11.73,15.73,0.569444444,205,6.833333333,R,HFD&GLP_1,,,B26010607
250530_17,1725975,female,APOE33HN,Sedentary,HFD+GLP1,,12/9/2024,15.73,10/1/2025,12/1/2025,11.73,15.73,0.569444444,205,6.833333333,LR,HFD&GLP_1,,,
