AnimalID,Row,Winding_numbers,CohortID,Time,Stage,Test,Treatment,Code,Apparatus,Date,Duration,Distance,MeanSpeed,NE_Time,NE_Distance,NE_AverageSpeed,NW_Time,NW_Distance,NW_AverageSpeed,SE_Time,SE_Distance,SE_AverageSpeed,SW_Time,SW_Distance,SW_LatencyToFirstEntry,SW_AverageSpeed,Island_Entries,Island_NumberExits,Island_Time,Island_DistanceToFirstEntry,Island_LatencyToFirstEntry,Thigmitaxis_Time,Thigmitaxis_Distance,Thigmitaxis_AverageSpeed,Diet,Sex,Genotype,Age_mastersheet,Sex_mastersheet,Genotype_mastersheet,Diet_mastersheet,Age_handling_mastersheet,NormSWTime,NormSWDist,DistTot,NE.Dist.Norm,NW.Dist.Norm,SE.Dist.Norm,SW.Dist.Norm,TimeTot,NE.Time.Norm,NW.Time.Norm,SE.Time.Norm,SW.Time.Norm,Lifestyle
190610_10,190610_10_Day1_T1_positions.csv,24.44058131,190610,1,Day1,9,APOE44_females,B,MWM_150,6/10/19,60,1.6942,0.282,3.3,0.08,0.246,14.8,0.3705,0.251,11,0.3209,0.293,31,0.9227,0,0.297,0,0,0,,,9.1,3.823,0.418,Control,female,APOE44,16.2,female,APOE44,Control,,0.516666667,0.544622831,1.6941,0.047222714,0.218700195,0.189422112,0.544654979,60.1,0.054908486,0.24625624,0.183028286,0.515806988,Sedentary
190610_10,190610_10_Day1_T2_positions.csv,19.06426971,190610,2,Day1,18,APOE44_females,B,MWM_150,6/10/19,60,1.1755,0.196,21,0.3883,0.185,0.7,0.0111,0.167,26.3,0.5467,0.208,12,0.2294,21.2,0.191,0,0,0,,,18.5,3.236,0.175,Control,female,APOE44,16.2,female,APOE44,Control,,0.2,0.195151,1.1755,0.33032752,0.00944279,0.46507869,0.195151,60,0.35,0.011666667,0.438333333,0.2,Sedentary
190610_10,190610_10_Day1_T3_positions.csv,6.529633645,190610,3,Day1,27,APOE44_females,B,MWM_150,6/10/19,16.1,0.2953,0.184,5.2,0.101,0.193,5,0.1178,0.236,0,0,,5.8,0.0764,10.2,0.131,1,0,2.1,2.839,14,4.6,0.859,0.188,Control,female,APOE44,16.2,female,APOE44,Control,,0.360248447,0.258719946,0.2952,0.342140921,0.399051491,0,0.258807588,16,0.325,0.3125,0,0.3625,Sedentary
190610_10,190610_10_Day1_T4_positions.csv,22.59426985,190610,4,Day1,36,APOE44_females,B,MWM_150,6/10/19,60,1.2326,0.205,7.2,0.1682,0.233,14.5,0.2545,0.175,12.6,0.2786,0.222,25.7,0.5313,4.3,0.206,0,0,0,,,16.8,3.635,0.216,Control,female,APOE44,16.2,female,APOE44,Control,,0.428333333,0.431040078,1.2326,0.136459516,0.20647412,0.226026286,0.431040078,60,0.12,0.241666667,0.21,0.428333333,Sedentary
190610_10,190610_10_Day2_T1_positions.csv,18.90987393,190610,1,Day2,45,APOE44_females,B,MWM_150,6/11/19,60,1.1819,0.197,22.3,0.3981,0.179,3.6,0.0726,0.203,13.5,0.3212,0.237,20.6,0.39,17.1,0.19,0,0,0,,,23.2,4.29,0.185,Control,female,APOE44,16.2,female,APOE44,Control,,0.343333333,0.329977155,1.1819,0.336830527,0.061426517,0.271765801,0.329977155,60,0.371666667,0.06,0.225,0.343333333,Sedentary
190610_10,190610_10_Day2_T2_positions.csv,21.30157126,190610,2,Day2,54,APOE44_females,B,MWM_150,6/11/19,60,1.2299,0.205,2.9,0.072,0.246,11.5,0.2744,0.239,10.2,0.2147,0.21,35.4,0.6689,0,0.189,0,0,0,,,16,2.988,0.186,Control,female,APOE44,16.2,female,APOE44,Control,,0.59,0.543865355,1.23,0.058536585,0.223089431,0.174552846,0.543821138,60,0.048333333,0.191666667,0.17,0.59,Sedentary
190610_10,190610_10_Day2_T3_positions.csv,2.70467966,190610,3,Day2,63,APOE44_females,B,MWM_150,6/11/19,7.6,0.1323,0.173,0,0,,0,0,,1.4,0.0335,0.24,6.3,0.0988,1.4,0.158,1,0,2,1.211,5.6,1.6,0.314,0.2,Control,female,APOE44,16.2,female,APOE44,Control,,0.828947368,0.746787604,0.1323,0,0,0.253212396,0.746787604,7.7,0,0,0.181818182,0.818181818,Sedentary
190610_10,190610_10_Day2_T4_positions.csv,7.765381556,190610,4,Day2,72,APOE44_females,B,MWM_150,6/11/19,19,0.3381,0.178,0,0,,4.8,0.0851,0.177,0,0,,14.2,0.253,3.8,0.179,1,1,0.5,3.056,16.9,4,0.704,0.176,Control,female,APOE44,16.2,female,APOE44,Control,,0.747368421,0.74829932,0.3381,0,0.25170068,0,0.74829932,19,0,0.252631579,0,0.747368421,Sedentary
190610_10,190610_10_Day3_T1_positions.csv,11.17656226,190610,1,Day3,81,APOE44_females,B,MWM_150,6/12/19,16.7,0.2678,0.16,0.3,0.0064,0.184,1.5,0.0251,0.172,1,0.0219,0.227,13.9,0.2144,0.4,0.154,1,0,2.1,2.678,14.6,0,0,,Control,female,APOE44,16.2,female,APOE44,Control,,0.832335329,0.800597461,0.2678,0.023898432,0.093726662,0.081777446,0.800597461,16.7,0.017964072,0.089820359,0.05988024,0.832335329,Sedentary
190610_10,190610_10_Day3_T2_positions.csv,6.673264917,190610,2,Day3,90,APOE44_females,B,MWM_150,6/12/19,12.9,0.1929,0.15,0.9,0.0258,0.275,0.3,0.0114,0.34,0,0,,11.6,0.1557,1.3,0.134,1,0,2,1.889,10.8,0,0,,Control,female,APOE44,16.2,female,APOE44,Control,,0.899224806,0.807153966,0.1929,0.133748056,0.059097978,0,0.807153966,12.8,0.0703125,0.0234375,0,0.90625,Sedentary
