Test,AnimalID,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),NE : time (s),NE : distance (m),NE : average speed (m/s),NW : time (s),NW : distance (m),NW : average speed (m/s),SE : time (s),SE : distance (m),SE : average speed (m/s),SW : time (s),SW : distance (m),SW : average speed (m/s),Island : distance to first entry (m),Island : latency to first entry (s),Thigmitaxis : time (s),Thigmitaxis : distance (m),Thigmitaxis : average speed (m/s),Diet,Sex,Age (months)
1,250530_1,,,Day1,1,MWM_150,12/15/2025,60,17.419,0.29,0,0,,0,0,,6,2.368,0.397,54,15.052,0.279,,,1.3,2.219,1.662,HFD,M,12
2,250530_2,,,Day1,1,MWM_150,12/15/2025,60,13.369,0.223,1.1,0.198,0.18,9.4,1.792,0.191,31.7,6.668,0.21,17.8,4.712,0.265,,,23.9,4.509,0.188,HFD,M,12
3,250530_3,,,Day1,1,MWM_150,12/15/2025,5.4,0.873,0.161,0,0,,3.8,0.627,0.164,0,0,,1.6,0.246,0.154,0,0,0,0,,HFD,M,11
4,250530_4,,,Day1,1,MWM_150,12/15/2025,36.6,5.161,0.141,0,0,,22.7,3.608,0.159,1.5,0.187,0.125,12.4,1.366,0.11,5.083,31.5,14.1,1.888,0.134,HFD,M,11
5,250530_5,,,Day1,1,MWM_150,12/15/2025,25,3.364,0.135,0,0,,0,0,,7.5,1.499,0.199,17.4,1.865,0.107,3.242,19.9,4.7,1.014,0.216,HFD,M,11
6,250530_6,,,Day1,1,MWM_150,12/15/2025,20,3.63,0.182,5.2,1.058,0.205,8,1.504,0.188,0,0,,6.8,1.068,0.158,2.832,14.9,1.3,0.183,0.145,HFD,M,11
7,250530_8,,,Day1,1,MWM_150,12/15/2025,6,0.198,0.033,0,0,,0,0,,0,0,,6,0.198,0.033,0,0,0,0,,HFD,F,12
8,250530_9,,,Day1,1,MWM_150,12/15/2025,60,9.315,0.155,44.5,6.665,0.15,12.8,2.074,0.162,1.4,0.305,0.223,1.4,0.272,0.2,,,12.7,1.528,0.12,HFD,F,12
9,250530_11,,,Day1,1,MWM_150,12/15/2025,60,11.658,0.194,3.6,0.671,0.185,0,0,,34.5,6.186,0.179,21.8,4.801,0.22,,,38.4,5.569,0.145,HFD,M,12
10,250530_12,,,Day1,1,MWM_150,12/15/2025,60,11.435,0.191,11.6,2.268,0.196,3.1,0.643,0.21,22.9,4.563,0.2,19.6,3.419,0.175,,,26.3,4.647,0.177,HFD,M,12
11,250530_13,,,Day1,1,MWM_150,12/15/2025,23.9,3.277,0.137,0,0,,3.1,0.319,0.104,2,0.389,0.191,18.8,2.57,0.137,3.249,18.8,8.6,1.452,0.169,HFD,M,11
12,250530_14,,,Day1,1,MWM_150,12/15/2025,60,8.627,0.144,0,0,,14.6,1.54,0.106,0.1,0.202,3.055,45.4,6.886,0.152,,,19.7,2.583,0.131,HFD,M,11
13,250530_15,,,Day1,1,MWM_150,12/15/2025,60,9.572,0.16,8.5,0.788,0.093,0,0,,8.3,2.182,0.262,32.8,5.662,0.172,,,20.3,3.178,0.157,HFD,F,12
14,250530_16,,,Day1,1,MWM_150,12/15/2025,60,9.896,0.165,11.5,2.114,0.184,22.7,4.245,0.187,8.7,1.794,0.206,17,1.709,0.1,,,10.2,1.163,0.114,HFD,F,12
15,250530_18,,,Day1,1,MWM_150,12/15/2025,11.7,1.144,0.098,0,0,,0,0,,1.1,0.101,0.095,10.7,1.043,0.098,1.089,6.7,0,0,,HFD,F,12
16,250530_19,,,Day1,1,MWM_150,12/15/2025,60,14.402,0.24,14.9,3.471,0.232,20.1,3.204,0.16,11.5,2.079,0.181,10.8,5.198,0.483,,,36,6.183,0.172,HFD,F,11
