Animal_ID,Cage#,Sex,Genotype,DOB,Age_Months,GLP_1Start,GLP_1End,Age_End,Age_Months_current,Years,Days,Age_Months_Start,Ear_Marks,Group,GLP_1Start,HFD_Start,,AnimalWeight_100225,AnimalWeight_g_100625,AnimalWeight_g_100825,AnimalWeight_g_101025,AnimalWeight_g_101325,AnimalWeight_g_101525,AnimalWeight_g_101725,AnimalWeight_g_102025,AnimalWeight_g_102125,AnimalWeight_g_102225,AnimalWeight_g_102325,AnimalWeight_g_102425,AnimalWeight_g_102725,AnimalWeight_g_102825,AnimalWeight_g_103025,AnimalWeight_g_103125,Dose_110125,AnimalWeight_g_110125,AnimalWeight_g_110325,AnimalWeight_g_110525,AnimalWeight_g_110725,AnimalWeight_g_111025,AnimalWeight_g_111225,AnimalWeight_g_111425,AnimalWeight_g_111725,AnimalWeight_g_111925,AnimalWeight_g_112125,AnimalWeight_g_112425,AnimalWeight_g_112625,AnimalWeight_g_112825,AnimalWeight_g_120125,AnimalWeight_g_120825,AnimalWeight_g_121025,AnimalWeight_g_121225,delta_start,delta_sema1,delta_sema2
250530_1,1725977,M,APOE22HN,12/5/2024,16.27,10/1/2025,12/1/2025,11.87,16.27,0.580555556,209,6.966666667,L,HFD&GLP_1,10/1/2025,5/30/2025,,46,46,46,43,44,41,40,42,40,40,40,40,43,42,41,38,121.6,40,39,37,39,39,38,37,39,38,37,41,40,39,40,38,37,38.00,32.25806452,-19.56521739,-13.04347826
250530_2,1725977,M,APOE22HN,12/5/2024,16.27,10/1/2025,12/1/2025,11.87,16.27,0.580555556,209,6.966666667,R,HFD&GLP_1,10/1/2025,5/30/2025,,48,48,46,44,46,43,43,45,43,43,43,44,46,45,46,43,137.6,45,45,45,46,47,46,45,47,46,45,48,46,48,47,45,44,44.00,48.38709677,-8.333333333,-2.083333333
250530_3,1725971,M,APOE22HN,1/22/2025,14.70,10/1/2025,12/1/2025,10.30,14.70,0.447222222,161,5.366666667,L,HFD&GLP_1,10/1/2025,5/30/2025,,50,50,46,44,45,41,42,43,41,41,41,40,42,42,41,40,128,40,41,40,41,42,40,40,42,40,40,43,42,43,44,42,42,42.00,32.25806452,-16,-12
250530_4,1725971,M,APOE22HN,1/22/2025,14.70,10/1/2025,12/1/2025,10.30,14.70,0.447222222,161,5.366666667,R,HFD&GLP_1,10/1/2025,5/30/2025,,53,53,50,51,51,48,48,49,47,48,48,47,49,49,47,46,147.2,46,47,47,48,50,48,48,50,48,48,49,50,49,50,49,47,48.00,46.875,-11.32075472,-5.660377358
250530_5,1725971,M,APOE22HN,1/22/2025,14.70,10/1/2025,12/1/2025,10.30,14.70,0.447222222,161,5.366666667,LR,HFD&GLP_1,10/1/2025,5/30/2025,,55,55,52,52,52,50,50,51,50,49,49,49,52,51,53,50,160,51,52,51,53,55,52,52,55,52,52,54,54,54,36,55,52,54.00,65.625,-5.454545455,-34.54545455
250530_6,1725971,M,APOE22HN,1/22/2025,14.70,10/1/2025,12/1/2025,10.30,14.70,0.447222222,161,5.366666667,LL,HFD&GLP_1,10/1/2025,5/30/2025,,53,53,53,49,49,47,46,47,45,44,44,43,47,47,45,43,137.6,44,45,44,40,48,45,45,48,45,45,47,48,46,40,45,44,43.00,55.17241379,-16.98113208,-24.52830189
250530_8,1725970,F,APOE22HN,12/5/2024,16.27,10/1/2025,12/1/2025,11.87,16.27,0.580555556,209,6.966666667,R,HFD&GLP_1,10/1/2025,5/30/2025,,40,40,36,34,33,31,31,32,31,31,31,30,32,32,32,30,96,31,32,29,31,30,30,30,30,30,30,32,33,33,33,30,31,29.00,23.07692308,-22.5,-17.5
250530_9,1725970,F,APOE22HN,12/5/2024,16.27,10/1/2025,12/1/2025,11.87,16.27,0.580555556,209,6.966666667,LR,HFD&GLP_1,10/1/2025,5/30/2025,,53,53,49,46,42,38,38,35,31,32,32,32,36,36,36,33,105.6,34,36,33,34,30,31,32,30,31,32,33,33,33,33,39,38,31.00,38.46153846,-28.30188679,-37.73584906
250530_10,1725970,F,APOE22HN,1/22/2025,14.70,10/1/2025,12/1/2025,10.30,14.70,0.447222222,161,5.366666667,RR,HFD&GLP_1,10/1/2025,5/30/2025,,50,50,47,44,38,34,32,32,29,29,29,27,31,31,31,28,89.6,31,32,31,31,32,34,30,32,34,30,32,32,32,32,38,29,,6.896551724,-42,-36
250530_11,1725974,M,APOE33HN,12/9/2024,16.13,10/1/2025,12/1/2025,11.73,16.13,0.569444444,205,6.833333333,L,HFD&GLP_1,10/1/2025,5/30/2025,,47,47,41,41,41,38,37,41,39,38,38,36,40,39,38,37,118.4,38,39,39,40,42,38,39,42,38,39,41,41,43,42,39,34,36.00,22.58064516,-27.65957447,-10.63829787
