Genotype,Day,mean_pct,sd_pct,n,sem_pct
APOE22HN,0,0.0,0.0,9,0.0
APOE22HN,4,0.0,0.0,9,0.0
APOE22HN,6,-5.203195476780383,3.3995152724680304,9,1.1331717574893434
APOE22HN,8,-9.315324422789558,3.8631461817595136,9,1.2877153939198378
APOE22HN,11,-10.838278878475762,7.850240120919395,9,2.6167467069731316
APOE22HN,13,-16.88152719428355,8.780883385464525,9,2.926961128488175
APOE22HN,15,-17.5549389160956,9.423287091109685,9,3.1410956970365618
APOE22HN,18,-16.116507569542843,11.513295186122761,9,3.8377650620409205
APOE22HN,19,-20.330620257814683,12.818728978293235,9,4.272909659431078
APOE22HN,20,-20.32299685396486,12.359166308168795,9,4.119722102722932
APOE22HN,21,-20.32299685396486,12.359166308168795,9,4.119722102722932
APOE22HN,22,-21.455247028667866,13.279439898069146,9,4.426479966023049
APOE22HN,25,-15.676260830895778,12.206018085084027,9,4.068672695028009
APOE22HN,26,-16.35130840811727,11.593300829446044,9,3.864433609815348
APOE22HN,28,-17.018129062017497,11.699442878514018,9,3.899814292838006
APOE22HN,29,-21.745577873346537,12.006299431556737,9,4.002099810518913
APOE22HN,30,-19.23377126473927,11.351479979139418,9,3.783826659713139
APOE22HN,32,-17.71250031073657,10.497761782678444,9,3.499253927559481
APOE22HN,34,-20.51396450145425,11.874925133446064,9,3.9583083778153547
APOE22HN,36,-19.03686026245501,12.502884210643579,9,4.167628070214526
APOE22HN,39,-16.976810075046334,15.096657477243658,9,5.03221915908122
APOE22HN,41,-18.894472479788313,12.37655380170943,9,4.125517933903144
APOE22HN,43,-20.04674513800847,12.973804544448853,9,4.324601514816284
APOE22HN,46,-16.976810075046334,15.096657477243658,9,5.03221915908122
APOE22HN,48,-18.894472479788313,12.37655380170943,9,4.125517933903144
APOE22HN,50,-20.04674513800847,12.973804544448853,9,4.324601514816284
APOE22HN,53,-15.476835624497644,13.540563264481289,9,4.51352108816043
APOE22HN,55,-15.706501713884816,13.104556824093557,9,4.368185608031186
APOE22HN,57,-15.8917932400295,13.302144236012612,9,4.4340480786708705
APOE22HN,60,-20.344088271282693,13.448259430484237,9,4.482753143494746
APOE22HN,67,-15.299767569045665,9.181026955718528,9,3.0603423185728427
APOE22HN,69,-18.939652196009867,11.165603120276538,9,3.721867706758846
APOE22HN,71,-17.606767531757278,12.39529243026836,8,4.3823976661165185
APOE33HN,0,0.0,0.0,12,0.0
APOE33HN,4,0.0,0.0,12,0.0
APOE33HN,6,-4.9607755407571625,3.832442035921481,12,1.1063307205464523
APOE33HN,8,-7.588268894247673,2.9942666611210105,12,0.8643703314118687
APOE33HN,11,-9.120820641271967,2.6225329742476986,12,0.7570600593202894
APOE33HN,13,-13.849787297569785,3.7256040517980398,12,1.0754892510997793
APOE33HN,15,-16.7439158594897,3.436463571059684,12,0.9920215839058256
APOE33HN,18,-13.57543595568925,3.2130353044239257,12,0.9275233989624624
APOE33HN,19,-16.2920174805661,3.987267181896899,12,1.1510248903995677
APOE33HN,20,-16.021165458459393,4.427907395093073,12,1.2782267632518602
APOE33HN,21,-16.021165458459393,4.427907395093073,12,1.2782267632518602
APOE33HN,22,-17.221826692141562,5.3617918217916545,12,1.547815975825073
APOE33HN,25,-10.584799231971198,10.529291284944803,12,3.0395445788694313
APOE33HN,26,-12.895137799519716,11.809073922814866,12,3.4089860041086766
