Animal_ID,start_weight,end_weight,delta_weight,pct_change
250530_1,46.0,38.0,-8.0,-17.391304347826086
250530_10,50.0,29.0,-21.0,-42.0
250530_11,47.0,36.0,-11.0,-23.404255319148938
250530_12,48.0,37.0,-11.0,-22.916666666666664
250530_13,49.0,38.0,-11.0,-22.448979591836736
250530_14,47.0,36.0,-11.0,-23.404255319148938
250530_15,43.0,31.0,-12.0,-27.906976744186046
250530_16,39.0,30.0,-9.0,-23.076923076923077
250530_17,40.0,31.0,-9.0,-22.5
250530_18,47.0,37.0,-10.0,-21.27659574468085
250530_19,31.0,31.0,0.0,0.0
250530_2,48.0,44.0,-4.0,-8.333333333333332
250530_20,38.0,28.0,-10.0,-26.31578947368421
250530_21,43.0,26.0,-17.0,-39.53488372093023
250530_22,37.0,32.0,-5.0,-13.513513513513514
250530_23,52.0,49.0,-3.0,-5.769230769230769
250530_25,55.0,51.0,-4.0,-7.2727272727272725
250530_26,45.0,39.0,-6.0,-13.333333333333334
250530_27,47.0,41.0,-6.0,-12.76595744680851
250530_28,48.0,42.0,-6.0,-12.5
250530_29,46.0,42.0,-4.0,-8.695652173913043
250530_3,50.0,42.0,-8.0,-16.0
250530_30,48.0,31.0,-17.0,-35.41666666666667
250530_31,47.0,35.0,-12.0,-25.53191489361702
250530_4,53.0,48.0,-5.0,-9.433962264150944
250530_5,55.0,54.0,-1.0,-1.8181818181818181
250530_6,53.0,43.0,-10.0,-18.867924528301888
250530_8,40.0,29.0,-11.0,-27.500000000000004
250530_9,53.0,31.0,-22.0,-41.509433962264154
