Animal_ID,start_weight,end_weight,delta_weight
250530_1,46.0,38.0,-8.0
250530_10,50.0,29.0,-21.0
250530_11,47.0,36.0,-11.0
250530_12,48.0,37.0,-11.0
250530_13,49.0,38.0,-11.0
250530_14,47.0,36.0,-11.0
250530_15,43.0,31.0,-12.0
250530_16,39.0,30.0,-9.0
250530_17,40.0,31.0,-9.0
250530_18,47.0,37.0,-10.0
250530_19,31.0,31.0,0.0
250530_2,48.0,44.0,-4.0
250530_20,38.0,28.0,-10.0
250530_21,43.0,26.0,-17.0
250530_22,37.0,32.0,-5.0
250530_23,52.0,49.0,-3.0
250530_25,55.0,51.0,-4.0
250530_26,45.0,39.0,-6.0
250530_27,47.0,41.0,-6.0
250530_28,48.0,42.0,-6.0
250530_29,46.0,42.0,-4.0
250530_3,50.0,42.0,-8.0
250530_30,48.0,31.0,-17.0
250530_31,47.0,35.0,-12.0
250530_4,53.0,48.0,-5.0
250530_5,55.0,54.0,-1.0
250530_6,53.0,43.0,-10.0
250530_8,40.0,29.0,-11.0
250530_9,53.0,31.0,-22.0
