Animal_ID,WeightColumn,Weight_g,DateCode,Date,Day
250530_1,AnimalWeight_100225,46.0,100225,2025-10-02,0
250530_1,AnimalWeight_g_100625,46.0,100625,2025-10-06,4
250530_1,AnimalWeight_g_100825,46.0,100825,2025-10-08,6
250530_1,AnimalWeight_g_101025,43.0,101025,2025-10-10,8
250530_1,AnimalWeight_g_101325,44.0,101325,2025-10-13,11
250530_1,AnimalWeight_g_101525,41.0,101525,2025-10-15,13
250530_1,AnimalWeight_g_101725,40.0,101725,2025-10-17,15
250530_1,AnimalWeight_g_102025,42.0,102025,2025-10-20,18
250530_1,AnimalWeight_g_102125,40.0,102125,2025-10-21,19
250530_1,AnimalWeight_g_102225,40.0,102225,2025-10-22,20
250530_1,AnimalWeight_g_102325,40.0,102325,2025-10-23,21
250530_1,AnimalWeight_g_102425,40.0,102425,2025-10-24,22
250530_1,AnimalWeight_g_102725,43.0,102725,2025-10-27,25
250530_1,AnimalWeight_g_102825,42.0,102825,2025-10-28,26
250530_1,AnimalWeight_g_103025,41.0,103025,2025-10-30,28
250530_1,AnimalWeight_g_103125,38.0,103125,2025-10-31,29
250530_1,AnimalWeight_g_110125,40.0,110125,2025-11-01,30
250530_1,AnimalWeight_g_110325,39.0,110325,2025-11-03,32
250530_1,AnimalWeight_g_110525,37.0,110525,2025-11-05,34
250530_1,AnimalWeight_g_110725,39.0,110725,2025-11-07,36
250530_1,AnimalWeight_g_111025,39.0,111025,2025-11-10,39
250530_1,AnimalWeight_g_111225,38.0,111225,2025-11-12,41
250530_1,AnimalWeight_g_111425,37.0,111425,2025-11-14,43
250530_1,AnimalWeight_g_111725,39.0,111725,2025-11-17,46
250530_1,AnimalWeight_g_111925,38.0,111925,2025-11-19,48
250530_1,AnimalWeight_g_112125,37.0,112125,2025-11-21,50
250530_1,AnimalWeight_g_112425,41.0,112425,2025-11-24,53
250530_1,AnimalWeight_g_112625,40.0,112625,2025-11-26,55
250530_1,AnimalWeight_g_112825,39.0,112825,2025-11-28,57
250530_1,AnimalWeight_g_120125,40.0,120125,2025-12-01,60
250530_1,AnimalWeight_g_120825,38.0,120825,2025-12-08,67
250530_1,AnimalWeight_g_121025,37.0,121025,2025-12-10,69
250530_1,AnimalWeight_g_121225,38.0,121225,2025-12-12,71
250530_10,AnimalWeight_100225,50.0,100225,2025-10-02,0
250530_10,AnimalWeight_g_100625,50.0,100625,2025-10-06,4
250530_10,AnimalWeight_g_100825,47.0,100825,2025-10-08,6
250530_10,AnimalWeight_g_101025,44.0,101025,2025-10-10,8
250530_10,AnimalWeight_g_101325,38.0,101325,2025-10-13,11
250530_10,AnimalWeight_g_101525,34.0,101525,2025-10-15,13
250530_10,AnimalWeight_g_101725,32.0,101725,2025-10-17,15
250530_10,AnimalWeight_g_102025,32.0,102025,2025-10-20,18
250530_10,AnimalWeight_g_102125,29.0,102125,2025-10-21,19
250530_10,AnimalWeight_g_102225,29.0,102225,2025-10-22,20
250530_10,AnimalWeight_g_102325,29.0,102325,2025-10-23,21
250530_10,AnimalWeight_g_102425,27.0,102425,2025-10-24,22
250530_10,AnimalWeight_g_102725,31.0,102725,2025-10-27,25
250530_10,AnimalWeight_g_102825,31.0,102825,2025-10-28,26
250530_10,AnimalWeight_g_103025,31.0,103025,2025-10-30,28
250530_10,AnimalWeight_g_103125,28.0,103125,2025-10-31,29
250530_10,AnimalWeight_g_110125,31.0,110125,2025-11-01,30
250530_10,AnimalWeight_g_110325,32.0,110325,2025-11-03,32
250530_10,AnimalWeight_g_110525,31.0,110525,2025-11-05,34
250530_10,AnimalWeight_g_110725,31.0,110725,2025-11-07,36
250530_10,AnimalWeight_g_111025,32.0,111025,2025-11-10,39
250530_10,AnimalWeight_g_111225,34.0,111225,2025-11-12,41
250530_10,AnimalWeight_g_111425,30.0,111425,2025-11-14,43
250530_10,AnimalWeight_g_111725,32.0,111725,2025-11-17,46
250530_10,AnimalWeight_g_111925,34.0,111925,2025-11-19,48
250530_10,AnimalWeight_g_112125,30.0,112125,2025-11-21,50
250530_10,AnimalWeight_g_112425,32.0,112425,2025-11-24,53
250530_10,AnimalWeight_g_112625,32.0,112625,2025-11-26,55
250530_10,AnimalWeight_g_112825,32.0,112825,2025-11-28,57
250530_10,AnimalWeight_g_120125,32.0,120125,2025-12-01,60
250530_10,AnimalWeight_g_120825,38.0,120825,2025-12-08,67
250530_10,AnimalWeight_g_121025,29.0,121025,2025-12-10,69
250530_11,AnimalWeight_100225,47.0,100225,2025-10-02,0
250530_11,AnimalWeight_g_100625,47.0,100625,2025-10-06,4
250530_11,AnimalWeight_g_100825,41.0,100825,2025-10-08,6
250530_11,AnimalWeight_g_101025,41.0,101025,2025-10-10,8
250530_11,AnimalWeight_g_101325,41.0,101325,2025-10-13,11
250530_11,AnimalWeight_g_101525,38.0,101525,2025-10-15,13
250530_11,AnimalWeight_g_101725,37.0,101725,2025-10-17,15
250530_11,AnimalWeight_g_102025,41.0,102025,2025-10-20,18
250530_11,AnimalWeight_g_102125,39.0,102125,2025-10-21,19
250530_11,AnimalWeight_g_102225,38.0,102225,2025-10-22,20
250530_11,AnimalWeight_g_102325,38.0,102325,2025-10-23,21
250530_11,AnimalWeight_g_102425,36.0,102425,2025-10-24,22
250530_11,AnimalWeight_g_102725,40.0,102725,2025-10-27,25
250530_11,AnimalWeight_g_102825,39.0,102825,2025-10-28,26
250530_11,AnimalWeight_g_103025,38.0,103025,2025-10-30,28
250530_11,AnimalWeight_g_103125,37.0,103125,2025-10-31,29
