Handling,CIVMID,ctb_ID,BadeaID,OldBadeaID,Specimens ID,Genotype,Sex,Lifestyle,Diet,Weight,DOB,Perfusion,Age_Months,Age_Imaging,Age_Years,Age_Handling,AgeExVivoMRI,Bruker_folder,ARunno,Second_Bruker_folder,Second_ARunno,SAMBA Brunno,DWI,GRE,T1,T2,Notes,Remark,Mn2Cl pump,fMRI,invivoDWI,Cardiac_ID,MicroCT_ID,Femur_Scan,Cohort_ID,NameGroup,Source,Cage#,GLP_1Start,GLP_1End,Age_End,Age_Months_current,Years,Days,Age_Months_Start,Ear_Marks,Group,Unnamed: 18,Unnamed: 19
190610_1,190610_1,,190610_1,190610_1,190610_1,APOE44,male,Sedentary,Control,30.7,4/3/2018,8/8/2019,16.2,16.0,1.35,,16.2,,A19061001,,,B49913,N57437,N57439,,,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190610_10,190610_10,,190610_10,190610_10,190610_10,APOE44,female,Sedentary,Control,29.6,4/3/2018,8/8/2019,16.2,16.0,1.35,,16.2,,A19061010,,,B49901,N57522,N57523,111,26,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190610_2,190610_2,,190610_2,190610_2,190610_2,APOE44,male,Sedentary,Control,32.1,4/3/2018,8/8/2019,16.2,16.0,1.35,,16.2,,A19061002,,,B49924,N57446,N57445,140,25,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190610_3,190610_3,,190610_3,190610_3,190610_3,APOE44,male,Sedentary,Control,31.6,4/3/2018,8/8/2019,16.2,16.0,1.35,,16.2,,A19061003,,,B49935,N57449,N57450,115,26,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190610_4,190610_4,,190610_4,190610_4,190610_4,APOE44,male,Sedentary,Control,30.6,4/3/2018,8/8/2019,16.2,16.0,1.35,,16.2,,A19061004,,,B49946,N57515,N57516,114,26,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190610_5,190610_5,,190610_5,190610_5,190610_5,APOE44,male,Sedentary,Control,32.2,4/3/2018,8/8/2019,16.2,16.0,1.35,,16.2,,A19061005,,,B49957,N57520,N57521,111,26,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190610_6,190610_6,,190610_6,190610_6,190610_6,APOE44,female,Sedentary,Control,25.6,4/3/2018,8/8/2019,16.2,16.0,1.35,,16.2,,A19061006,,,B49968,N57442,N57443,140,28,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190610_7,190610_7,,190610_7,190610_7,190610_7,APOE44,female,Sedentary,Control,28.7,4/3/2018,8/8/2019,16.2,16.0,1.35,,16.2,,A19061007,,,B49978,N57447,N57448,115,26,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190610_8,190610_8,,190610_8,190610_8,190610_8,APOE44,female,Sedentary,Control,25.7,4/3/2018,8/8/2019,16.2,16.0,1.35,,16.2,,A19061008,,,,N57451,N57517,117,28,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190610_9,190610_9,,190610_9,190610_9,190610_9,APOE44,female,Sedentary,Control,24.6,4/3/2018,8/8/2019,16.2,16.0,1.35,,16.2,,A19061009,,,B49991,N57518,N57519,114,28,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190715_1,190715_1,,190715_1,190715_1,190715_1,APOE33,male,Sedentary,Control,32.7,4/26/2018,9/12/2019,16.57,17.0,1.38,,16.57,,A19071501,,,B51315,N57546,N57547,113,26, ,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190715_10,190715_10,,190715_10,190715_10,190715_10,APOE22,male,Sedentary,Control,32.3,5/26/2018,9/12/2019,16.57,17.0,1.38,,16.57,,A19071510,,,B51902,N57513,N57514,112,24,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190715_2,190715_2,,190715_2,190715_2,190715_2,APOE33,male,Sedentary,Control,36.9,4/26/2018,9/12/2019,16.57,17.0,1.38,,16.57,,A19071502,,,B51325,N57548,N57549,113,26, ,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190715_3,190715_3,,190715_3,190715_3,190715_3,APOE33,male,Sedentary,Control,32.4,4/26/2018,9/12/2019,16.57,17.0,1.38,,16.57,,A19071503,,,B51732,N57550,N57551,116,26, ,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190715_4,190715_4,,190715_4,190715_4,190715_4,HN,female,Sedentary,Control,27.8,3/21/2018,9/12/2019,17.73,18.0,1.48,,17.73,,A19071504,,,B51742,N57554,N57555,114,26,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190715_5,190715_5,,190715_5,190715_5,190715_5,APOE22,male,Sedentary,Control,32.0,5/26/2018,9/12/2019,17.73,18.0,1.48,,17.73,,A19071505,,,B51852,N57552,N57553,115,27,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190715_6,190715_6,,190715_6,190715_6,190715_6,APOE22,male,Sedentary,Control,30.3,5/26/2018,9/12/2019,15.57,16.0,1.3,,15.57,,A19071506,,,B51861,N57498,N57499,115,23,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190715_7,190715_7,,190715_7,190715_7,190715_7,APOE22,female,Sedentary,Control,27.5,5/26/2018,9/12/2019,15.57,16.0,1.3,,15.57,,A19071507,,,B51872,N57496,N57497,102,22,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190715_8,190715_8,,190715_8,190715_8,190715_8,APOE22,female,Sedentary,Control,28.0,5/26/2018,9/12/2019,15.57,16.0,1.3,,15.57,,A19071508,,,B51882,N57500,N57501,108,22,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190715_9,190715_9,,190715_9,190715_9,190715_9,APOE22,male,Sedentary,Control,29.3,5/26/2018,9/12/2019,15.57,16.0,1.3,,15.57,,A19071509,,,B51991,N57502,N57503,114,24,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190909_10,190909_10,,190909_2,190909_10,190909_10,APOE33,male,Sedentary,Control,36.4,4/26/2018,10/11/2019,17.53,18.0,1.46,,17.53,,A19090910,,,B51801,N57580,N57581,125,27, ,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190909_11,190909_11,,190909_3,190909_11,190909_11,APOE33,female,Sedentary,Control,36.2,4/26/2018,10/11/2019,17.53,18.0,1.46,,17.53,,A19090911,,,B51813,N57582,N57583,108,24, ,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190909_12,190909_12,,190909_4,190909_12,190909_12,APOE33,female,Sedentary,Control,30.4,4/26/2018,10/11/2019,17.53,18.0,1.46,,17.53,,A19090912,,,B51824,N57584,N57585,108,24, ,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190909_13,190909_13,,190909_8,190909_13,190909_13,APOE33,male,Sedentary,Control,34.0,4/26/2018,10/11/2019,17.53,18.0,1.46,,17.53,,A19090913,,,B51836,N57587,N57588,114,25, ,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
