Animal Code,Genotype ,Sex,Age (months),Day1_Totaldistance,Day2_Totaldistance,Day3_Totaldistance,Day4_Totaldistance,Day5_Totaldistance,Day1_SW,Day2_SW,Day3_SW,Day4_SW,Day5_SW,Distance Day 1 Trial 1,Distance Day 1 Trial 2,Distance Day 1 Trial 3,Distance Day 1 Trial 4,Distance Day 2 Trial 1,Distance Day 2 Trial 2,Distance Day 2 Trial 3,Distance Day 2 Trial 4,Distance Day 3 Trial 1,Distance Day 3 Trial 2,Distance Day 3 Trial 3,Distance Day 3 Trial 4,Distance Day 4 Trial 1,Distance Day 4 Trial 2,Distance Day 4 Trial 3,Distance Day 4 Trial 4,Distance Day 5 Trial 1,Distance Day 5 Trial 2,Distance Day 5 Trial 3,Distance Day 5 Trial 4,SW Distance Day 1 Trial 1,SW Distance Day 1 Trial 2,SW Distance Day 1 Trial 3,SW Distance Day 1 Trial 4,SW Distance Day 2 Trial 1,SW Distance Day 2 Trial 2,SW Distance Day 2 Trial 3,SW Distance Day 2 Trial 4,SW Distance Day 3 Trial 1,SW Distance Day 3 Trial 2,SW Distance Day 3 Trial 3,SW Distance Day 3 Trial 4,SW Distance Day 4 Trial 1,SW Distance Day 4 Trial 2,SW Distance Day 4 Trial 3,SW Distance Day 4 Trial 4,SW Distance Day 5 Trial 1,SW Distance Day 5 Trial 2,SW Distance Day 5 Trial 3,SW Distance Day 5 Trial 4,Distance Probe Day 5,Distance Probe Day 8,SW Distance Probe Day 5,SW Distance Probe Day 8
250530_1,APOE22HN,M,12,9.654,10.866,8.249,3.815,1.375,5.75,2.114,2.413,1.517,0.399,17.419,5.432,2.455,13.31,12.131,11.796,9.46,10.076,9.940,11.525,11.287,0.243,10.696,2.771,1.754,0.037,3.980,0.574,0.000,0.946,15.052,2.299,1.141,4.508,1.345,3.881,0,3.23,3.325,3.016,3.068,0.243,4.105,1.638,0.289,0.037,1.151,0.241,0,0.203,9.196,10.705,3.394,2.604
250530_2,APOE22HN,M,12,5.393,6.106,5.535,2.107,1.399,1.734,1.893,1.739,0.837,0.645,13.369,2.776,4.171,1.257,10.766,1.159,10.817,1.683,12.546,2.334,7.144,0.115,5.673,0.830,0.817,1.109,1.785,2.270,1.194,0.346,4.712,1.291,0.302,0.631,3.054,0.858,3.139,0.521,3.226,0.226,3.388,0.115,1.47,0.83,0.726,0.322,0.98,1.155,0.236,0.209,11.594,11.645,4.502,5.039
250530_3,APOE22HN,M,11,6.979,1.905,2.416,4.126,1.057,2.624,0.73,0.642,1.464,0.396,0.873,5.187,11.209,10.646,4.79,0.127,1.558,1.146,2.482,5.685,1.496,0.000,4.871,0.727,9.200,1.704,1.411,1.211,0.473,1.132,0.246,2.246,3.163,4.843,1.528,0.127,0.853,0.414,0.503,1.847,0.216,0,1.967,0.686,2.987,0.217,0.238,0.568,0.254,0.522,10.18,11.569,4.064,2.642
250530_4,APOE22HN,M,11,6.503,3.999,4.797,3.069,4.345,1.712,0.816,1.223,0.685,0.809,5.161,8.804,8.619,3.427,10.681,0.234,5.009,0.077,5.145,9.050,4.260,0.732,7.571,0.205,4.499,0.000,0.198,5.233,6.988,4.960,1.366,2.852,2.351,0.278,1.169,0.234,1.784,0.077,1.134,2.184,0.843,0.732,1.342,0.205,1.194,0,0.198,1.002,1.261,0.775,11.025,11.586,3.895,3.543
250530_5,APOE22HN,M,11,6.725,6.78,4.183,4.351,1.535,3.482,2.606,1.397,0.902,0.745,3.364,10.111,3.441,9.985,11.858,0.473,10.947,3.841,1.943,3.536,11.210,0.042,10.790,2.316,2.802,1.497,1.663,0.878,0.826,2.772,1.865,2.655,2.049,7.358,4.529,0.473,2.422,2.998,0.226,2.108,3.212,0.042,2.166,0.24,0.931,0.273,0.863,0.273,0.258,1.587,10.453,12.078,5.453,4.172
250530_6,APOE22HN,M,11,6.178,8.61,7.076,4.161,3.013,2.129,2.898,2.43,1.579,1.014,3.63,7.022,1.4,12.661,12.963,9.385,1.007,11.066,12.708,0.693,9.634,5.268,6.218,9.155,0.974,0.298,0.708,3.043,7.756,0.546,1.068,3.533,0.53,3.385,3.179,4.199,0.481,3.731,3.645,0.342,3.887,1.844,2.264,3.44,0.402,0.208,0.708,1.769,1.28,0.297,11.037,13.684,3.707,5.588
250530_8,APOE22HN,F,12,6.707,5.791,6.895,2.605,1.13,2.292,2.362,1.892,1.455,0.764,0.198,1.401,15.959,9.271,12.003,1.062,3.649,6.449,12.010,1.201,9.927,4.441,8.027,1.287,0.485,0.622,1.596,0.904,1.046,0.974,0.198,0.357,3.555,5.056,4.233,1.062,1.04,3.114,2.997,0.378,2.609,1.583,3.969,0.968,0.262,0.622,1.196,0.541,0.383,0.937,10.811,11.641,6.749,4.07
250530_9,APOE22HN,F,12,6.013,4.151,6.848,2.722,1.402,1.91,0.944,2.223,0.998,0.461,9.315,10.69,4.047,0,10.106,1.905,4.594,0,10.478,5.988,4.962,5.962,3.729,2.578,3.817,0.764,3.396,0.822,0.494,0.896,0.272,4.783,2.583,0,1.38,0.661,1.735,0,3.257,2.072,1.954,1.61,1.884,0.605,1.279,0.223,1.06,0.396,0.198,0.19,8.793,10.078,5.041,3.631
250530_11,APOE33HN,M,12,9.285,7.689,8.453,5.905,6.677,3.059,2.008,1.938,1.325,1.315,11.658,2.033,10.103,13.344,9.107,0.246,11.582,9.82,9.859,7.521,10.357,6.075,1.336,8.860,6.295,7.129,7.145,5.594,6.444,7.523,4.801,0.633,3.232,3.571,1.422,0.246,3.226,3.139,3.254,1.118,1.652,1.726,0.71,1.331,0,3.257,3.758,0.351,0.852,0.3,7.731,9.403,1.58,2.141
250530_12,APOE33HN,M,12,8.066,10.608,7.64,3.16,1.561,2.497,3.291,1.756,1.8,0.503,11.435,10.453,9.25,1.127,11.745,9.237,10.112,11.337,11.430,11.660,6.354,1.115,4.424,4.214,3.776,0.227,0.733,2.612,1.009,1.890,3.419,1.761,4.363,0.444,3.066,3.04,3.058,4.001,2.53,1.975,1.638,0.881,3.123,2.78,1.07,0.227,0.733,0.32,0.31,0.649,9.703,9.803,2.463,3.511
250530_13,APOE33HN,M,11,6.959,6.873,5.076,2.05,2.751,2.083,1.992,1.446,0.739,0.769,3.277,4.63,10.775,9.153,7.828,1.864,8.735,9.065,1.449,8.712,8.033,2.111,4.902,0.601,2.371,0.324,0.103,2.367,0.285,8.247,2.57,1.453,2.823,1.487,2.625,0.784,1.304,3.256,0.252,1.137,2.606,1.787,1.616,0.361,0.654,0.324,0.103,0.214,0.245,2.512,9.606,10.979,2.082,1.378
250530_14,APOE33HN,M,11,6.147,2.184,3.083,4.451,2.176,3.159,1.114,1.326,1.046,0.69,8.627,7.699,8.261,0,3.919,1.005,0,3.811,6.237,2.064,2.930,1.100,7.252,6.944,3.223,0.383,0.413,1.446,2.037,4.808,6.886,2.601,3.15,0,1.089,1.005,0,2.36,2.195,0.589,1.421,1.1,2.224,0.942,0.634,0.383,0.413,0.624,1.084,0.639,6.778,8.357,1.157,2.206
