mouse_ID,genotype,day5_Totaldistance,day8_Totaldistance,day5_SWdistance,day8_SWdistance,day5_SW_TOTAL,day8_SW_TOTAL,Age,sex
250530_1,APOE22HN,9.196,10.705,3.394,2.604,0.36907351,0.243250817,12,M
250530_2,APOE22HN,11.594,11.645,4.502,5.039,0.388304295,0.432717905,12,M
250530_3,APOE22HN,10.18,11.569,4.064,2.642,0.399214145,0.228368917,11,M
250530_4,APOE22HN,11.025,11.586,3.895,3.543,0.353287982,0.305800104,11,M
250530_5,APOE22HN,10.453,12.078,5.453,4.172,0.521668421,0.345421427,11,M
250530_6,APOE22HN,11.037,13.684,3.707,5.588,0.335870255,0.408360129,11,M
250530_8,APOE22HN,10.811,11.641,6.749,4.07,0.624271575,0.349626321,12,F
250530_9,APOE22HN,8.793,10.078,5.041,3.631,0.573296941,0.36028974,12,F
250530_11,APOE33HN,7.731,9.403,1.58,2.141,0.204372009,0.227693289,12,M
250530_12,APOE33HN,9.703,9.803,2.463,3.511,0.253839019,0.358155667,12,M
250530_13,APOE33HN,9.606,10.979,2.082,1.378,0.216739538,0.125512342,11,M
250530_14,APOE33HN,6.778,8.357,1.157,2.206,0.170699321,0.263970324,11,M
250530_15,APOE33HN,10.312,10.1,1.9,1.178,0.184251358,0.116633663,12,F
250530_16,APOE33HN,9.44,8.916,4.55,3.315,0.481991525,0.371803499,12,F
250530_18,APOE33HN,10.597,10.211,4.509,2.858,0.425497782,0.279894232,12,F
250530_19,APOE33HN,10.682,10.86,5.674,4.391,0.531173937,0.404327808,11,F
250530_20,APOE33HN,10.786,11.692,3.704,4.475,0.343408122,0.382740335,11,F
250530_21,APOE33HN,6.165,6.921,5.122,1.977,0.83081914,0.285652362,11,F
250530_22,APOE33HN,11.622,12.122,4.86,3.817,0.418172432,0.314882033,8,F
250530_23,APOE44HN,10.365,10.796,4.552,3.82,0.439170285,0.353834754,15,M
250530_25,APOE44HN,9.398,9.572,4.371,2.922,0.465098957,0.305265357,13,M
250530_26,APOE44HN,8.867,10.982,2.309,3.146,0.260403744,0.286468767,13,M
250530_27,APOE44HN,9.391,10.565,2.09,2.933,0.222553509,0.277614766,11,F
250530_28,APOE44HN,11.551,12.413,4.293,3.665,0.371656134,0.295254975,11,F
250530_29,APOE44HN,9.85,9.444,2.849,3.478,0.289238579,0.368276154,11,F
250530_30,APOE44HN,9.968,8.678,3.775,4.141,0.378711878,0.477183683,11,F
250530_31,APOE44HN,13.443,12.789,3.489,1.332,0.259540281,0.104152006,11,F
