genotype_label,outcome,beta_delta_mass,p_value_delta_mass,r_squared,N
APOE ε2,day5_SW_TOTAL,-0.0017619692126524481,0.7654387721248149,0.015987194254088455,8
APOE ε3,day5_SW_TOTAL,-0.005201694444535467,0.46733950364656623,0.06013868286617019,11
APOE ε4,day5_SW_TOTAL,0.0025041564232280017,0.5094333527960725,0.0757445130180383,8
APOE ε2,day8_SW_TOTAL,0.0008711331725234448,0.8213859458640443,0.009186495000667927,8
APOE ε3,day8_SW_TOTAL,0.0016274276153116032,0.6458970580366697,0.024486392178698968,11
APOE ε4,day8_SW_TOTAL,-0.0009575478668149874,0.8316213793462075,0.008152549171132395,8
APOE ε2,delta_memory,0.0026331023851758947,0.6887643753540565,0.028626455387734562,8
APOE ε3,delta_memory,0.006829122059847069,0.27426580687656943,0.13088972495836293,11
APOE ε4,delta_memory,-0.003461704290042988,0.4270049566373738,0.10788340701381727,8
APOE ε2,learning_ratio_slope,-0.00035765498224778116,0.8620522288073964,0.0054523614876073045,8
APOE ε3,learning_ratio_slope,0.0019242004665872981,0.41718744036126415,0.07436604062167018,11
APOE ε4,learning_ratio_slope,-0.00070126622346357,0.6230199471105448,0.04280074361869424,8
