genotype_label,Day,Q1,Median,Q3,Mean,SD,N,measure
APOE ε2,Day 5,9.934,10.632,11.028,10.386125,0.9615972482578886,8,Total Distance
APOE ε2,Day 8,11.353000000000002,11.6135,11.75325,11.62325,1.0480994704702407,8,Total Distance
APOE ε3,Day 5,8.5855,9.703,10.6395,9.402,1.7614717709915195,11,Total Distance
APOE ε3,Day 8,9.159500000000001,10.1,10.9195,9.942181818181819,1.5110096504113941,11,Total Distance
APOE ε4,Day 5,9.39625,9.908999999999999,10.6615,10.354125,1.484699915567356,8,Total Distance
APOE ε4,Day 8,9.54,10.680499999999999,11.339749999999999,10.654875,1.4306526420284054,8,Total Distance
APOE ε2,Day 5,0.3651271281312293,0.39375922035413613,0.5345755505989241,0.44562339049157107,0.11075669302280135,8,SW/Total
APOE ε2,Day 8,0.29016278202372314,0.3475238740757308,0.37230733717517833,0.33422941991978106,0.0722382839880567,8,SW/Total
APOE ε3,Day 5,0.21055577329231964,0.3434081216391619,0.45374465390748586,0.3691785621129604,0.198899925980241,11,SW/Total
APOE ε3,Day 8,0.24583180682738934,0.2856523623753793,0.364979582979858,0.2846605050201592,0.0975227682945422,11,SW/Total
APOE ε4,Day 5,0.2601878784619153,0.3304473561741419,0.39382647966014156,0.33579667078505365,0.0902564611366585,8,SW/Total
APOE ε4,Day 8,0.2842552667390248,0.30026016595774035,0.357445103752327,0.3085063076269101,0.10519769306045372,8,SW/Total
