ARunno,BadeaID
B25122902,250530_27
B25122903,250530_28
B25122904,250530_29
B25123000,250530_23
B25123002,250530_25
B25123003,250530_26
B25123004,250530_30
B25123005,250530_31
B25123006,250530_27
B25123007,250530_28
B25123008,250530_11
B25123009,250530_12
B26010600,250530_8
B26010601,250530_9
B26010602,250530_9
B26010604,250530_15
B26010606,250530_15a
B26010607,250530_16
B26010608,250530_18
B2601065,250530_14
B26010800,250530_1
B26010801,250530_2
B26010802,250530_3
B26010803,250530_4
B26010804,250530_5
B26010805,250530_6
B26010806,250530_6
B26010807,250530_6
B26010808,250530_19
B26010900,250530_20
B26010902,250530_22
