Animal_ID,AnimalWeight_g_100825,AnimalWeight_g_121025,delta_mass,learning_slope,day5_SW_TOTAL,day8_SW_TOTAL
250530_1,46,37.0,-19.565217391304348,-1.1298999999999997,0.3690735102218356,0.24325081737505838
250530_2,46,44.0,-4.3478260869565215,-0.32339999999999997,0.3883042953251682,0.4327179046801202
250530_3,46,42.0,-8.695652173913043,-0.3721999999999999,0.3992141453831041,0.22836891693318348
250530_4,50,47.0,-6.0,-0.19369999999999996,0.3532879818594104,0.3058001035732781
250530_5,52,52.0,0.0,-0.7178000000000001,0.5216684205491247,0.3454214273886405
250530_6,53,44.0,-16.9811320754717,-0.35489999999999994,0.33587025459816977,0.40836012861736337
250530_8,36,31.0,-13.88888888888889,-0.3963,0.6242715752474332,0.3496263207628211
250530_9,49,38.0,-22.448979591836736,-0.28439999999999993,0.5732969407483226,0.3602897400277833
250530_11,41,34.0,-17.073170731707318,-0.41710000000000014,0.20437200879575734,0.22769328937573113
250530_12,44,35.0,-20.454545454545457,-0.5478999999999999,0.25383901886014637,0.35815566663266346
250530_13,45,35.0,-22.22222222222222,-0.38810000000000017,0.21673953778888194,0.12551234174332818
250530_14,45,34.0,-24.444444444444443,-0.5006,0.17069932133372678,0.26397032427904754
250530_15,41,33.0,-19.51219512195122,-0.2887,0.18425135764158262,0.11663366336633663
250530_16,37,33.0,-10.81081081081081,-0.3088,0.4819915254237288,0.3718034993270525
250530_18,45,39.0,-13.333333333333334,-0.48449999999999993,0.42549778239124286,0.2798942317109
250530_19,31,29.0,-6.451612903225806,0.015600000000000246,0.5311739374648943,0.4043278084714549
250530_20,38,26.0,-31.57894736842105,-0.36710000000000004,0.3434081216391619,0.3827403352719808
250530_21,40,24.0,-40.0,-0.8486000000000002,0.8308191403081914,0.2856523623753793
250530_22,37,30.0,-18.91891891891892,-0.19979999999999998,0.4181724315952504,0.3148820326678766
250530_23,52,49.0,-5.769230769230769,-0.5846999999999999,0.43917028461167384,0.35383475361244904
250530_25,55,53.0,-3.6363636363636362,-0.3899999999999998,0.46509895722494154,0.305265357292102
250530_26,45,38.0,-15.555555555555555,-0.11629999999999996,0.2604037442201421,0.28646876707339286
250530_27,46,39.0,-15.217391304347828,-0.18079999999999996,0.22255350867852197,0.2776147657359205
250530_28,48,39.0,-18.75,-0.14599999999999996,0.3716561336680807,0.2952549746233787
250530_29,46,43.0,-6.521739130434782,0.1993,0.2892385786802031,0.368276154171961
250530_30,48,32.0,-33.33333333333333,-0.10739999999999986,0.3787118780096308,0.47718368287623875
250530_31,45,35.0,-22.22222222222222,-0.4304999999999997,0.259540281187235,0.10415200562983815
